,URL,pages,description,prix,Enchère ou vente
4646,https://www.zoopla.co.uk//for-sale/details/54077766?search_identifier=572b0c58279461dfb83c64c7bb4df3f5,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=47,1 bed flat for sale,135000.0,vente
2608,https://www.zoopla.co.uk//new-homes/details/54117203?search_identifier=b2405fab13ec430939762f5907ff3366,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=27,1 bed flat for sale,135000.0,vente
4765,https://www.zoopla.co.uk//for-sale/details/54076322?search_identifier=cddf4390077aadc405d46f0373930128,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=48,Studio for sale,135000.0,vente
892,https://www.zoopla.co.uk//for-sale/details/54150593?search_identifier=53e48c5723f36dcf12d90e69a71ff408,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=9,1 bed flat for sale,135000.0,vente
887,https://www.zoopla.co.uk//new-homes/details/54150644?search_identifier=53e48c5723f36dcf12d90e69a71ff408,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=9,3 bed flat for sale,135000.0,vente
4694,https://www.zoopla.co.uk//for-sale/details/54077244?search_identifier=572b0c58279461dfb83c64c7bb4df3f5,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=47,1 bed flat for sale,135000.0,vente
2639,https://www.zoopla.co.uk//new-homes/details/54116525?search_identifier=b2405fab13ec430939762f5907ff3366,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=27,1 bed flat for sale,135000.0,vente
2623,https://www.zoopla.co.uk//new-homes/details/54116758?search_identifier=b2405fab13ec430939762f5907ff3366,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=27,1 bed flat for sale,135000.0,vente
4567,https://www.zoopla.co.uk//for-sale/details/49368650?search_identifier=cf88198ac198078c89cdfd0b11a6cb2a,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=46,1 bed mobile/park home for sale,135000.0,vente
2695,https://www.zoopla.co.uk//for-sale/details/54115797?search_identifier=b2405fab13ec430939762f5907ff3366,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=27,1 bed flat for sale,137500.0,vente
1867,https://www.zoopla.co.uk//for-sale/details/54135394?search_identifier=92c224e336c3061160fdc18c13247ef4,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=19,1 bed flat for sale,137500.0,vente
3637,https://www.zoopla.co.uk//for-sale/details/54098264?search_identifier=e2ef349b8061d18709a6a85a84a6f39c,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=37,1 bed flat for sale,137500.0,vente
3285,https://www.zoopla.co.uk//for-sale/details/54104502?search_identifier=5ca92ebc399a151af28b9cfe6a327213,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=33,2 bed maisonette for sale,140000.0,vente
4058,https://www.zoopla.co.uk//for-sale/details/54091414?search_identifier=7a8541b13a993b61d4666d1416e42352,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=41,2 bed flat for sale,140000.0,vente
2975,https://www.zoopla.co.uk//for-sale/details/54110650?search_identifier=25971fe6e2637a7010d0b8b56ed1cfc2,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=30,1 bed flat for sale,140000.0,vente
913,https://www.zoopla.co.uk//new-homes/details/54150258?search_identifier=40eb412b77e323cbd846caf27f840b62,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=10,1 bed flat for sale,141000.0,vente
3301,https://www.zoopla.co.uk//for-sale/details/54104205?search_identifier=fa66bf652959bd95b74ac0d613701526,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=34,1 bed flat for sale,143500.0,vente
4666,https://www.zoopla.co.uk//new-homes/details/54077494?search_identifier=572b0c58279461dfb83c64c7bb4df3f5,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=47,3 bed flat for sale,143750.0,vente
2443,https://www.zoopla.co.uk//for-sale/details/54120392?search_identifier=bd268dfed7c29988402539b9a6ce422b,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=25,1 bed maisonette for sale,145000.0,vente
