,URL,pages,description,prix
4648,https://www.zoopla.co.uk//new-homes/details/54077505?search_identifier=572b0c58279461dfb83c64c7bb4df3f5,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=47,1 bed flat for sale,92500.0
2496,https://www.zoopla.co.uk//new-homes/details/54119438?search_identifier=bd268dfed7c29988402539b9a6ce422b,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=25,1 bed flat for sale,93125.0
5559,https://www.zoopla.co.uk//new-homes/details/54062091?search_identifier=0f534732f0d135b685a7958232c25b5b,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=56,1 bed flat for sale,93750.0
5560,https://www.zoopla.co.uk//new-homes/details/54062144?search_identifier=0f534732f0d135b685a7958232c25b5b,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=56,1 bed flat for sale,93750.0
4171,https://www.zoopla.co.uk//for-sale/details/54089601?search_identifier=0c7007bf60077d229b892565fe7c0df3,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=42,1 bed flat for sale,94000.0
8535,https://www.zoopla.co.uk//for-sale/details/53992896?search_identifier=5f35bcae69a3ad3db52097326a52c397,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=86,1 bed flat for sale,94500.0
2574,https://www.zoopla.co.uk//new-homes/details/54117784?search_identifier=c7f699d8dc072d33fa2bb65cbe563ec6,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=26,1 bed flat for sale,95995.0
5124,https://www.zoopla.co.uk//new-homes/details/54068807?search_identifier=8b456d5c332277964b4aeb5cfbc6d9ed,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=52,1 bed flat for sale,96250.0
2710,https://www.zoopla.co.uk//new-homes/details/54115006?search_identifier=aead6369aaf688945fcc6ca2557d2b20,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=28,1 bed flat for sale,97500.0
1028,https://www.zoopla.co.uk//for-sale/details/54148351?search_identifier=fe807ecfbac015f02352bddcb4d44f93,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=11,2 bed flat for sale,97500.0
2599,https://www.zoopla.co.uk//new-homes/details/54116791?search_identifier=c7f699d8dc072d33fa2bb65cbe563ec6,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=26,1 bed flat for sale,99995.0
2601,https://www.zoopla.co.uk//new-homes/details/54116779?search_identifier=b2405fab13ec430939762f5907ff3366,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=27,1 bed flat for sale,99995.0
5045,https://www.zoopla.co.uk//for-sale/details/54070712?search_identifier=8d486b349d09e5cfcca8acc0f690c3c0,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=51,2 bed flat for sale,100000.0
4735,https://www.zoopla.co.uk//for-sale/details/54076507?search_identifier=cddf4390077aadc405d46f0373930128,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=48,Land for sale,100000.0
9582,https://www.zoopla.co.uk//for-sale/details/53969223?search_identifier=a5656084126786453cab24bdb8eed128,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=96,1 bed flat for sale,100000.0
4812,https://www.zoopla.co.uk//for-sale/details/54075533?search_identifier=6e021a797919b125b060dfed191d21b4,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=49,1 bed flat for sale,100000.0
4533,https://www.zoopla.co.uk//for-sale/details/54079346?search_identifier=cf88198ac198078c89cdfd0b11a6cb2a,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=46,1 bed flat for sale,100000.0
9170,https://www.zoopla.co.uk//for-sale/details/53977570?search_identifier=fa9bb80b9e735581213c71171a2eb876,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=92,Land for sale,100000.0
7751,https://www.zoopla.co.uk//for-sale/details/54008781?search_identifier=ab3619dd29cee0ad1e842a39f75fb611,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=78,2 bed end terrace house for sale,100000.0
5902,https://www.zoopla.co.uk//for-sale/details/54051067?search_identifier=9c41cec468fb72b3675f3898119552c5,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=60,3 bed flat for sale,100000.0
4140,https://www.zoopla.co.uk//for-sale/details/54090225?search_identifier=0c7007bf60077d229b892565fe7c0df3,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=42,1 bed flat for sale,100000.0
8560,https://www.zoopla.co.uk//for-sale/details/53992627?search_identifier=5f35bcae69a3ad3db52097326a52c397,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=86,2 bed flat for sale,100000.0
5897,https://www.zoopla.co.uk//for-sale/details/54051061?search_identifier=ca956d7ec04f4b458c9a511e740b8e3a,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=59,1 bed flat for sale,100000.0
712,https://www.zoopla.co.uk//for-sale/details/54153742?search_identifier=b76c80d2603f19c8f29aeb2044a454fd,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=8,2 bed maisonette for sale,100000.0
4045,https://www.zoopla.co.uk//new-homes/details/54091373?search_identifier=7a8541b13a993b61d4666d1416e42352,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=41,2 bed flat for sale,100625.0
3486,https://www.zoopla.co.uk//new-homes/details/54101543?search_identifier=9dc7c865aa4092bf72c6a483b1191463,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=35,1 bed flat for sale,101000.0
8437,https://www.zoopla.co.uk//for-sale/details/53994020?search_identifier=b2922a150ccef682e4c96f0219cdcb5b,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=85,1 bed flat for sale,102000.0
9395,https://www.zoopla.co.uk//for-sale/details/53972718?search_identifier=1bb59fc96937d864f69d649102f72433,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=94,1 bed flat for sale,102500.0
8534,https://www.zoopla.co.uk//for-sale/details/53992902?search_identifier=5f35bcae69a3ad3db52097326a52c397,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=86,2 bed flat for sale,102500.0
8549,https://www.zoopla.co.uk//for-sale/details/53992727?search_identifier=5f35bcae69a3ad3db52097326a52c397,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=86,1 bed flat for sale,104000.0
8561,https://www.zoopla.co.uk//for-sale/details/53992626?search_identifier=5f35bcae69a3ad3db52097326a52c397,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=86,1 bed flat for sale,105000.0
1256,https://www.zoopla.co.uk//for-sale/details/54144010?search_identifier=e8a31cfb56cfc8829bdea22a56efac86,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=13,2 bed flat for sale,105000.0
