,URL,ville,code postal,adresse,prix £,surface m2,Enchère ou vente,Etat neuf ou ancien,Nombre de chambres,Nombre de SDB,Nombre de séjour,Description,Type bien,Aide
78,https://www.zoopla.co.uk//for-sale/details/54181934?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,Londres,E12,"Queensberry Place, London E12",325000,62.709525,vente,A,2,NA,NA,2 bed flat for sale,Appartement,NA
79,https://www.zoopla.co.uk//for-sale/details/54181905?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,Londres,SW15,"Enmore Road, London SW15",749950,NA,vente,A,3,1,1,3 bed flat for sale,Appartement,NA
80,https://www.zoopla.co.uk//for-sale/details/54181918?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,Londres,SW15,"Putney Hill, London SW15",375000,NA,vente,A,1,1,1,1 bed flat for sale,Appartement,NA
81,https://www.zoopla.co.uk//for-sale/details/54181883?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,Londres,SW18,"Garratt Lane, London SW18",345000,NA,vente,A,1,1,1,1 bed flat for sale,Appartement,NA
82,https://www.zoopla.co.uk//for-sale/details/54181880?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,Londres,SW15,"Radcliffe Square, London SW15",425000,NA,vente,A,2,1,1,2 bed flat for sale,Appartement,NA
83,https://www.zoopla.co.uk//for-sale/details/54181892?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,Londres,SW15,"Keswick Road, London SW15",895000,NA,vente,A,3,1,1,3 bed flat for sale,Appartement,NA
84,https://www.zoopla.co.uk//for-sale/details/54181896?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,Londres,SW15,"Kendal Place, London SW15",525000,NA,vente,A,2,1,1,2 bed flat for sale,Appartement,NA
85,https://www.zoopla.co.uk//for-sale/details/54181919?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,Londres,SW15,"Crestway, London SW15",1250000,NA,vente,A,3,1,2,3 bed semi-detached house for sale,Maison,NA
86,https://www.zoopla.co.uk//for-sale/details/54181847?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,Londres,SW15,"Upper Richmond Road, London SW15",369950,NA,vente,A,1,1,1,1 bed flat for sale,Appartement,NA
87,https://www.zoopla.co.uk//for-sale/details/54181746?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,Orpington,BR6,"Stowe Road, Orpington BR6",525000,NA,vente,A,3,1,2,3 bed semi-detached house for sale,Maison,NA
88,https://www.zoopla.co.uk//for-sale/details/54181741?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,Londres,SW15,"Gipsy Lane, London SW15",550000,NA,vente,A,2,2,1,2 bed flat for sale,Appartement,NA
