,URL,pages,description,prix,Enchère ou vente,Frais sans enchère
5089,https://www.zoopla.co.uk//for-sale/details/54075533?search_identifier=8d486b349d09e5cfcca8acc0f690c3c0,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=51,1 bed flat for sale,100000.0,vente,NA
9399,https://www.zoopla.co.uk//for-sale/details/53977570?search_identifier=1bb59fc96937d864f69d649102f72433,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=94,Land for sale,100000.0,Enchères,NA
6149,https://www.zoopla.co.uk//for-sale/details/54051061?search_identifier=a291fdb6dcd788297aed12d267d98e11,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=62,1 bed flat for sale,100000.0,vente,NA
7991,https://www.zoopla.co.uk//for-sale/details/54008781?search_identifier=deac6f9206c15779a662370da0a54810,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=80,2 bed end terrace house for sale,100000.0,Enchères,NA
6159,https://www.zoopla.co.uk//for-sale/details/54051067?search_identifier=a291fdb6dcd788297aed12d267d98e11,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=62,3 bed flat for sale,100000.0,vente,NA
9810,https://www.zoopla.co.uk//for-sale/details/53969223?search_identifier=eb10c86a852c21db7d578db593287267,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=99,1 bed flat for sale,100000.0,vente,NA
5318,https://www.zoopla.co.uk//for-sale/details/54070712?search_identifier=c410247bdd38ccbe0830fbc10e9adda2,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=54,2 bed flat for sale,100000.0,vente,NA
4421,https://www.zoopla.co.uk//for-sale/details/54090225?search_identifier=67ba0911be9c61924e653e74da3148eb,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=45,1 bed flat for sale,100000.0,vente,NA
8791,https://www.zoopla.co.uk//for-sale/details/53992627?search_identifier=bc580ae5322c677e87215cf5ebf4d761,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=88,2 bed flat for sale,100000.0,vente,NA
1018,https://www.zoopla.co.uk//for-sale/details/54153742?search_identifier=fe807ecfbac015f02352bddcb4d44f93,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=11,2 bed maisonette for sale,100000.0,vente,NA
4811,https://www.zoopla.co.uk//for-sale/details/54079346?search_identifier=6e021a797919b125b060dfed191d21b4,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=49,1 bed flat for sale,100000.0,vente,NA
5012,https://www.zoopla.co.uk//for-sale/details/54076507?search_identifier=8d486b349d09e5cfcca8acc0f690c3c0,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=51,Land for sale,100000.0,vente,NA
4326,https://www.zoopla.co.uk//new-homes/details/54091373?search_identifier=c896488009676d2754e19f5d80e08912,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=44,2 bed flat for sale,100625.0,vente,NA
3770,https://www.zoopla.co.uk//new-homes/details/54101543?search_identifier=126ebb161c184d66f0c85a917d8aca4b,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=38,1 bed flat for sale,101000.0,vente,NA
8667,https://www.zoopla.co.uk//for-sale/details/53994020?search_identifier=ae4027b310421f37f8f05a5c6443bc54,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=87,1 bed flat for sale,102000.0,vente,NA
9625,https://www.zoopla.co.uk//for-sale/details/53972718?search_identifier=caef4a319a7642559fc5e78f9d4c4e3f,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=97,1 bed flat for sale,102500.0,vente,NA
8764,https://www.zoopla.co.uk//for-sale/details/53992902?search_identifier=bc580ae5322c677e87215cf5ebf4d761,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=88,2 bed flat for sale,102500.0,vente,NA
8780,https://www.zoopla.co.uk//for-sale/details/53992727?search_identifier=bc580ae5322c677e87215cf5ebf4d761,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=88,1 bed flat for sale,104000.0,vente,NA
1560,https://www.zoopla.co.uk//for-sale/details/54144010?search_identifier=741597e526e0bc932b16b74bb1c9f5e5,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=16,2 bed flat for sale,105000.0,vente,NA
5204,https://www.zoopla.co.uk//for-sale/details/54071266?search_identifier=0f8d38b7510155545dba4f8a3ff32365,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=53,1 bed property for sale,105000.0,vente,NA
8792,https://www.zoopla.co.uk//for-sale/details/53992626?search_identifier=bc580ae5322c677e87215cf5ebf4d761,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=88,1 bed flat for sale,105000.0,vente,NA
1678,https://www.zoopla.co.uk//new-homes/details/54141422?search_identifier=8d5ef7abd61f7b0d233372bb90b5f0bc,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=17,1 bed flat for sale,105450.0,vente,NA
