,URL,ville,code postal,adresse,prix,surface,Enchère ou vente,Etat neuf ou ancien,Nombre de chambres,Nombre de SDB,Nombre de séjour,Description,Type bien,Aide
7559,https://www.zoopla.co.uk//for-sale/details/54018323?search_identifier=39aa78fa1b8597596b773a636dceb381, London,NW6,"Priory Park Road, London NW6",500000.0,NA,vente,A,1,1,1,1 bed flat for sale,Appartement,NA
6792,https://www.zoopla.co.uk//for-sale/details/54035191?search_identifier=71875a417683f11ff7d7eefc45d4e42c, London,N17,"Rivulet Road, London N17",500000.0,NA,vente,A,3,2,2,3 bed terraced house for sale,Maison,NA
1544,https://www.zoopla.co.uk//for-sale/details/54144226?search_identifier=741597e526e0bc932b16b74bb1c9f5e5, Essex,IG6,"Barkingside, Ilford, Essex IG6",500000.0,NA,vente,A,3,1,1,3 bed end terrace house for sale,Maison,NA
5137,https://www.zoopla.co.uk//for-sale/details/54074990?search_identifier=8b456d5c332277964b4aeb5cfbc6d9ed, London,W10,"Coronation Court, Brewster Gardens, London W10",500000.0,NA,vente,A,2,1,1,2 bed flat for sale,Appartement,NA
674,https://www.zoopla.co.uk//for-sale/details/54161363?search_identifier=7628ff5369be1389d7c928a9eb4c75d1, London,SW14,"Upper Richmond Road West, London SW14",500000.0,NA,vente,A,2,1,1,2 bed flat for sale,Appartement,NA
4460,https://www.zoopla.co.uk//for-sale/details/45511370?search_identifier=67ba0911be9c61924e653e74da3148eb, London,NW2,"North Circular Road, London NW2",500000.0,NA,vente,A,4,1,1,4 bed terraced house for sale,Maison,NA
3529,https://www.zoopla.co.uk//for-sale/details/54105501?search_identifier=4ca3ac5f42f9829a770bdf952ab50893, London,SE19,"Jasper Road, Crystal Palace, London, London SE19",500000.0,NA,vente,A,3,1,NA,3 bed end terrace house for sale,Maison,NA
774,https://www.zoopla.co.uk//for-sale/details/54159248?search_identifier=b76c80d2603f19c8f29aeb2044a454fd, Middlesex,HA2,"Balmoral Road, South Harrow, Middlesex HA2",500000.0,NA,vente,A,3,NA,NA,3 bed semi-detached house for sale,Maison,NA
5992,https://www.zoopla.co.uk//for-sale/details/54055720?search_identifier=9c41cec468fb72b3675f3898119552c5, London,W4,"Stile Hall Gardens, London W4",500000.0,NA,vente,A,2,1,1,2 bed flat for sale,Appartement,NA
4388,https://www.zoopla.co.uk//for-sale/details/54090857?search_identifier=c896488009676d2754e19f5d80e08912, Hornchurch,RM12,"Albany Road, Hornchurch RM12",500000.0,NA,vente,A,3,1,3,3 bed semi-detached house for sale,Maison,NA
4506,https://www.zoopla.co.uk//for-sale/details/54088032?search_identifier=cf88198ac198078c89cdfd0b11a6cb2a, Bexley,DA5,"Thistlefield Close, Bexley DA5",500000.0,NA,vente,A,4,NA,NA,4 bed link-detached house for sale,Maison,NA
3507,https://www.zoopla.co.uk//for-sale/details/54105748?search_identifier=4ca3ac5f42f9829a770bdf952ab50893, London,SW2,"Brixton Hill, London SW2",500000.0,NA,vente,A,1,1,1,1 bed flat for sale,Appartement,NA
2870,https://www.zoopla.co.uk//for-sale/details/54118308?search_identifier=1768e58e3707f3b23fb796f0ef9ce5bb, London,E8,"Navarino Grove, London E8",500000.0,NA,vente,A,2,1,1,2 bed flat for sale,Appartement,NA
1554,https://www.zoopla.co.uk//for-sale/details/54144157?search_identifier=741597e526e0bc932b16b74bb1c9f5e5, Greater London,RM1,"Brentwood Road, Romford, Greater London RM1",500000.0,NA,vente,A,4,NA,NA,4 bed terraced house for sale,Maison,NA
5517,https://www.zoopla.co.uk//new-homes/details/54067427?search_identifier=0f534732f0d135b685a7958232c25b5b, Royal Docks,E16,"Park View Place, Royal Wharf, Royal Docks E16",500000.0,NA,vente,N,1,1,1,1 bed flat for sale,Appartement,NA
2251,https://www.zoopla.co.uk//for-sale/details/54131707?search_identifier=7855bd28b4f8269093228e149b31c366, 12 High Street,E15,"Sky View Tower, 12 High Street E15",500000.0,NA,vente,A,3,2,1,3 bed flat for sale,Appartement,NA
1771,https://www.zoopla.co.uk//for-sale/details/54140444?search_identifier=c8eff9ff1a3aecce5a182c764ac10624, London,E3,"Truman Walk, Bow, London E3",500000.0,NA,vente,A,2,1,1,2 bed flat for sale,Appartement,NA
4286,https://www.zoopla.co.uk//for-sale/details/54092163?search_identifier=4a383953bb5d5f63baf930d0fea37709, Kingston Upon Thames,KT1,"Hawks Road, Kingston Upon Thames KT1",500000.0,NA,vente,A,2,1,2,2 bed semi-detached house for sale,Maison,NA
1175,https://www.zoopla.co.uk//for-sale/details/54150409?search_identifier=23a43f2fe22e23116a4f7dab9e3cf741, Surbiton,KT5,"Sunray Avenue, Tolworth, Surbiton KT5",500000.0,NA,vente,A,3,1,1,3 bed end terrace house for sale,Maison,NA
2871,https://www.zoopla.co.uk//for-sale/details/54118273?search_identifier=1768e58e3707f3b23fb796f0ef9ce5bb, Pinner,HA5,"Chigwell Hurst Court, Pinner HA5",500000.0,NA,vente,A,2,1,1,2 bed maisonette for sale,Maisonette,NA
5844,https://www.zoopla.co.uk//new-homes/details/54062037?search_identifier=ca956d7ec04f4b458c9a511e740b8e3a, London,N17,"500 White Hart Lane, Tottenham, London N17",500000.0,90.487522,vente,N,3,2,NA,3 bed flat for sale,Appartement,Help to buy
2571,https://www.zoopla.co.uk//for-sale/details/54124125?search_identifier=c7f699d8dc072d33fa2bb65cbe563ec6, London,NW1,"Kendal, Augustus Street, London NW1",500000.0,NA,vente,A,2,1,1,2 bed flat for sale,Appartement,NA
9220,https://www.zoopla.co.uk//for-sale/details/53980600?search_identifier=44f691af584fc0a76e5ac29f3de0057f, Hayes,UB4,"Harries Road, Hayes UB4",500000.0,NA,vente,A,4,NA,NA,4 bed semi-detached house for sale,Maison,NA
9256,https://www.zoopla.co.uk//for-sale/details/53979526?search_identifier=44f691af584fc0a76e5ac29f3de0057f, Purley,CR8,"The Close, Russell Hill, Purley CR8",500000.0,NA,vente,A,3,NA,NA,3 bed flat for sale,Appartement,NA
3181,https://www.zoopla.co.uk//for-sale/details/54111453?search_identifier=e0ee2bc9f7f06ac362fecc655241c48c, Beckenham,BR3,"Clock House Road, Beckenham BR3",500000.0,NA,vente,A,3,1,3,3 bed terraced house for sale,Maison,NA
8698,https://www.zoopla.co.uk//for-sale/details/53993825?search_identifier=ae4027b310421f37f8f05a5c6443bc54, Hampton,TW12,"Hillfield Road, Hampton TW12",500000.0,NA,vente,A,2,1,1,2 bed terraced house for sale,Maison,NA
4257,https://www.zoopla.co.uk//for-sale/details/54092620?search_identifier=4a383953bb5d5f63baf930d0fea37709, Harrow,HA3,"Mead Close, Harrow HA3",500000.0,NA,vente,A,3,1,1,3 bed semi-detached house for sale,Maison,NA
2357,https://www.zoopla.co.uk//for-sale/details/54128781?search_identifier=3db859b17f7188303fb67108baf9eeb7, Carshalton,SM5,"Windborough Road, Carshalton SM5",500000.0,NA,vente,A,3,2,3,3 bed semi-detached house for sale,Maison,NA
5283,https://www.zoopla.co.uk//for-sale/details/54071564?search_identifier=0f8d38b7510155545dba4f8a3ff32365, London,E7,"Strone Road, London E7",500000.0,NA,vente,A,3,1,3,3 bed terraced house for sale,Maison,NA
6552,https://www.zoopla.co.uk//for-sale/details/54043632?search_identifier=fb6d1e772d68bffb98839d55e6a6a60e, London,NW2,"Wilkinson Close, London NW2",500000.0,NA,vente,A,2,2,1,2 bed flat for sale,Appartement,NA
7060,https://www.zoopla.co.uk//for-sale/details/54029357?search_identifier=e9b573906f5159600ce7762f3637082a, Middlesex,HA4,"Heathfield Rise, Ruislip, Middlesex HA4",500000.0,NA,vente,A,3,1,1,3 bed semi-detached house for sale,Maison,NA
1348,https://www.zoopla.co.uk//for-sale/details/50501542?search_identifier=3cfe3f584c71cef3e322c075eb10e2e9, London,E3,"Coborn Road, London E3",500000.0,NA,vente,A,2,1,NA,2 bed flat for sale,Appartement,NA
3829,https://www.zoopla.co.uk//for-sale/details/54099798?search_identifier=821909f7980636a44357a204c6cd4dde, London,W4,"Cambridge Road North, London W4",500000.0,NA,vente,A,2,NA,NA,2 bed flat for sale,Appartement,NA
7208,https://www.zoopla.co.uk//for-sale/details/54025539?search_identifier=7ea405110a39dd30499c50861ac2b968, South Croydon,CR2,"Mount Park Avenue, South Croydon CR2",500000.0,NA,vente,A,3,1,2,3 bed terraced house for sale,Maison,NA
4634,https://www.zoopla.co.uk//for-sale/details/54084855?search_identifier=572b0c58279461dfb83c64c7bb4df3f5, London,E2,"Victoria Park Square, Bethnal Green, London E2",500000.0,NA,vente,A,2,NA,NA,2 bed flat for sale,Appartement,NA
6572,https://www.zoopla.co.uk//for-sale/details/54043054?search_identifier=fb6d1e772d68bffb98839d55e6a6a60e, Ewell,KT17,"Beaufort Way, Ewell KT17",500000.0,NA,vente,A,3,1,1,3 bed semi-detached bungalow for sale,Bungalow,NA
6676,https://www.zoopla.co.uk//for-sale/details/54040073?search_identifier=5f379b47885253facf691c9da832d0ff, Hayes,UB4,"Belmore Avenue, Hayes UB4",500000.0,NA,vente,A,3,1,2,3 bed semi-detached house for sale,Maison,NA
5715,https://www.zoopla.co.uk//for-sale/details/54063363?search_identifier=20d287dba7a84f2a5f13a696af814b1a, Uxbridge,UB10,"Swakeleys Road, Ickenham, Uxbridge UB10",500000.0,NA,vente,A,3,2,1,3 bed semi-detached house for sale,Maison,NA
484,https://www.zoopla.co.uk//for-sale/details/54164849?search_identifier=4b04934ec25d0fa93e83ae8b9deb67ef, London,N7,"Tufnell Park Road, Tufnell Park, London N7",500000.0,46.4515,vente,A,2,NA,NA,2 bed flat for sale,Appartement,NA
5801,https://www.zoopla.co.uk//for-sale/details/54062684?search_identifier=ca956d7ec04f4b458c9a511e740b8e3a, London,N7,"Manor Gardens, London N7",500000.0,NA,vente,A,1,1,1,1 bed flat for sale,Appartement,NA
9246,https://www.zoopla.co.uk//new-homes/details/53979748?search_identifier=44f691af584fc0a76e5ac29f3de0057f, London,E5,"Hunts Wharf, Leaside Road, London E5",500000.0,NA,vente,N,1,NA,NA,1 bed flat for sale,Appartement,Help to buy
5779,https://www.zoopla.co.uk//for-sale/details/54063043?search_identifier=20d287dba7a84f2a5f13a696af814b1a, Twickenham,TW1,"Roseleigh Close, Twickenham TW1",500000.0,NA,vente,A,2,2,1,2 bed flat for sale,Appartement,NA
1262,https://www.zoopla.co.uk//for-sale/details/54149695?search_identifier=e8a31cfb56cfc8829bdea22a56efac86, London,W2,"Orsett Terrace, London W2",500000.0,NA,vente,A,1,1,NA,1 bed flat for sale,Appartement,NA
5634,https://www.zoopla.co.uk//for-sale/details/47020990?search_identifier=a1c48676b0bfa0cd1b3eb1e8b018ffdd, Wallington,SM6,"Victoria Avenue, Wallington SM6",500000.0,NA,vente,A,3,1,2,3 bed semi-detached house for sale,Maison,NA
5363,https://www.zoopla.co.uk//for-sale/details/54070421?search_identifier=c410247bdd38ccbe0830fbc10e9adda2, London,W8,"Lexham Gardens, London W8",500000.0,NA,vente,A,1,1,1,1 bed flat for sale,Appartement,NA
7238,https://www.zoopla.co.uk//for-sale/details/54024849?search_identifier=7ea405110a39dd30499c50861ac2b968, London,SE1,"Haven Way, London SE1",500000.0,NA,vente,A,1,1,1,1 bed flat for sale,Appartement,NA
9708,https://www.zoopla.co.uk//for-sale/details/53970904?search_identifier=8fbaba4bb000c1682feb6a45a150501f, London,SE19,"Sylvan Hill, London SE19",500000.0,NA,vente,A,2,2,NA,2 bed flat for sale,Appartement,NA
3810,https://www.zoopla.co.uk//for-sale/details/54100155?search_identifier=821909f7980636a44357a204c6cd4dde, London,E18,"Carnarvon Road, London E18",500000.0,66.983063,vente,A,2,NA,NA,2 bed semi-detached house for sale,Maison,NA
1381,https://www.zoopla.co.uk//for-sale/details/54147841?search_identifier=3cfe3f584c71cef3e322c075eb10e2e9, Kingston Upon Thames,KT2,"Cowleaze Road, Kingston Upon Thames KT2",500000.0,NA,vente,A,2,1,1,2 bed flat for sale,Appartement,NA
9627,https://www.zoopla.co.uk//new-homes/details/53972951?search_identifier=caef4a319a7642559fc5e78f9d4c4e3f, London,SW8,"Queens Apartments, St Philip Street, Battersea, London SW8",500000.0,45.336664,vente,N,1,1,NA,1 bed flat for sale,Appartement,NA
7041,https://www.zoopla.co.uk//for-sale/details/54029622?search_identifier=e9b573906f5159600ce7762f3637082a, London,SE18,"Kinlet Road, Shooters Hill, London SE18",500000.0,NA,vente,A,3,1,2,3 bed property for sale,Maison avec jardin,NA
6515,https://www.zoopla.co.uk//for-sale/details/54044382?search_identifier=fb6d1e772d68bffb98839d55e6a6a60e, Tooting,SW17,"Vant Road, Tooting SW17",500000.0,NA,vente,A,2,1,1,2 bed flat for sale,Appartement,NA
4254,https://www.zoopla.co.uk//for-sale/details/54092717?search_identifier=4a383953bb5d5f63baf930d0fea37709, Sutton,SM1,"Oldfields Road, North Cheam, Sutton SM1",500000.0,NA,vente,A,3,1,1,3 bed semi-detached house for sale,Maison,NA
9457,https://www.zoopla.co.uk//for-sale/details/53975841?search_identifier=1a3942ffe12dfa0a8f1ae730191f6c97, London,E6,"Lathom Road, London E6",500000.0,NA,vente,A,3,NA,2,3 bed terraced house for sale,Maison,NA
6516,https://www.zoopla.co.uk//for-sale/details/54044380?search_identifier=fb6d1e772d68bffb98839d55e6a6a60e, London,SW4,"Gauden Road, London SW4",500000.0,NA,vente,A,1,1,1,1 bed flat for sale,Appartement,NA
8691,https://www.zoopla.co.uk//for-sale/details/53993870?search_identifier=ae4027b310421f37f8f05a5c6443bc54, Essex,IG8,"Prospect Road, Woodford Green, Essex IG8",500000.0,NA,vente,A,3,1,1,3 bed end terrace house for sale,Maison,NA
2032,https://www.zoopla.co.uk//for-sale/details/54136970?search_identifier=81df929a334627b4b26f5398e1ff779b, Bexley,DA5,"The Rise, Bexley DA5",500000.0,NA,vente,A,3,1,2,3 bed semi-detached house for sale,Maison,NA
3062,https://www.zoopla.co.uk//new-homes/details/54114338?search_identifier=ae19cf55e1b8f615f85bc82ca1b01fb1, London,E1,"Stepney Way, London E1",500000.0,NA,vente,N,1,NA,NA,1 bed flat for sale,Appartement,Help to buy
5842,https://www.zoopla.co.uk//for-sale/details/54062071?search_identifier=ca956d7ec04f4b458c9a511e740b8e3a, Morden,SM4,"Hillcross Avenue, Morden SM4",500000.0,NA,vente,A,3,1,2,3 bed semi-detached house for sale,Maison,NA
2499,https://www.zoopla.co.uk//for-sale/details/54125029?search_identifier=bd268dfed7c29988402539b9a6ce422b, London,SE22,"Crystal Palace Road, East Dulwich, London SE22",500000.0,NA,vente,A,2,1,1,2 bed flat for sale,Appartement,NA
2020,https://www.zoopla.co.uk//for-sale/details/54137102?search_identifier=81df929a334627b4b26f5398e1ff779b, Surrey,SM1,"Berwick Gardens, Sutton, Surrey SM1",500000.0,NA,vente,A,3,2,1,3 bed end terrace house for sale,Maison,NA
9461,https://www.zoopla.co.uk//for-sale/details/53975760?search_identifier=1a3942ffe12dfa0a8f1ae730191f6c97, Feltham,TW13,"Kings Road, Feltham TW13",500000.0,NA,vente,A,3,1,2,3 bed semi-detached house for sale,Maison,NA
4776,https://www.zoopla.co.uk//new-homes/details/53783175?search_identifier=cddf4390077aadc405d46f0373930128, London,SE15,"Carlton Grove, Peckham, London SE15",500000.0,NA,vente,N,2,1,1,2 bed flat for sale,Appartement,NA
2479,https://www.zoopla.co.uk//for-sale/details/51501530?search_identifier=bd268dfed7c29988402539b9a6ce422b, London,E14,"City Tower, 3 Limeharbour, London E14",500000.0,NA,vente,A,2,2,1,2 bed flat for sale,Appartement,NA
2153,https://www.zoopla.co.uk//for-sale/details/54135536?search_identifier=485f3d09a6279ecdebd5fa1f71aab668, Kent,DA16,"Falconwood Avenue, Welling, Kent DA16",500000.0,NA,vente,A,3,1,2,3 bed semi-detached house for sale,Maison,NA
3103,https://www.zoopla.co.uk//for-sale/details/51555831?search_identifier=e0ee2bc9f7f06ac362fecc655241c48c, London,E11,"Chelsea Mews, 45-47 New Wanstead, London E11",500000.0,77.016587,vente,A,2,NA,NA,2 bed flat for sale,Appartement,NA
1272,https://www.zoopla.co.uk//for-sale/details/54149509?search_identifier=e8a31cfb56cfc8829bdea22a56efac86, Enfield,EN1,"Lincoln Road, Enfield EN1",500000.0,NA,vente,A,3,1,1,3 bed terraced house for sale,Maison,NA
929,https://www.zoopla.co.uk//for-sale/details/54155630?search_identifier=40eb412b77e323cbd846caf27f840b62, Drayton Park,N5,"Ashburton Triangle, Drayton Park N5",500000.0,NA,vente,A,2,1,1,2 bed flat for sale,Appartement,NA
31,https://www.zoopla.co.uk//for-sale/details/54171482?search_identifier=e431d2b21f8c113b686bf52a8d653f6a, London,E17,"Chingford Road, Walthamstow, London E17",500000.0,NA,vente,A,2,NA,NA,2 bed terraced house for sale,Maison,NA
4245,https://www.zoopla.co.uk//new-homes/details/54093022?search_identifier=4a383953bb5d5f63baf930d0fea37709, Wembley,HA9,"Matthews Close, Wembley HA9",500000.0,NA,vente,N,2,2,NA,2 bed flat for sale,Appartement,NA
2119,https://www.zoopla.co.uk//for-sale/details/54135879?search_identifier=485f3d09a6279ecdebd5fa1f71aab668, London,W9,"Admiral Walk, London W9",500000.0,NA,vente,A,1,1,1,1 bed flat for sale,Appartement,NA
110,https://www.zoopla.co.uk//for-sale/details/54169603?search_identifier=da4a7aa09a3e8961feb0847e3012d9d8, Coulsdon,CR5,"The Crossways, Coulsdon CR5",500000.0,NA,vente,A,4,2,2,4 bed semi-detached house for sale,Maison,NA
5301,https://www.zoopla.co.uk//for-sale/details/54071333?search_identifier=c410247bdd38ccbe0830fbc10e9adda2, London,SE13,"Granville Park, London SE13",500000.0,NA,vente,A,2,1,1,2 bed flat for sale,Appartement,NA
5687,https://www.zoopla.co.uk//for-sale/details/54064207?search_identifier=a1c48676b0bfa0cd1b3eb1e8b018ffdd, Mitcham,CR4,"Beech Grove, Mitcham CR4",500000.0,NA,vente,A,4,2,2,4 bed terraced house for sale,Maison,NA
2162,https://www.zoopla.co.uk//for-sale/details/54135392?search_identifier=485f3d09a6279ecdebd5fa1f71aab668, Carshalton,SM5,"Dale Park Avenue, Carshalton SM5",500000.0,NA,vente,A,3,1,2,3 bed terraced house for sale,Maison,NA
1320,https://www.zoopla.co.uk//for-sale/details/54148845?search_identifier=3cfe3f584c71cef3e322c075eb10e2e9, London,SW16,"Knollys Road, London SW16",500000.0,NA,vente,A,3,2,1,3 bed flat for sale,Appartement,NA
105,https://www.zoopla.co.uk//new-homes/details/54157313?search_identifier=da4a7aa09a3e8961feb0847e3012d9d8, Battersea,SW11,"York Road, Battersea SW11",500000.0,52.118583,vente,N,1,1,1,1 bed flat for sale,Appartement,NA
8562,https://www.zoopla.co.uk//for-sale/details/53996802?search_identifier=5f35bcae69a3ad3db52097326a52c397, London,NW1,"Camden Street, Camden, London NW1",500000.0,NA,vente,A,1,1,1,1 bed flat for sale,Appartement,NA
1057,https://www.zoopla.co.uk//for-sale/details/54153237?search_identifier=fe807ecfbac015f02352bddcb4d44f93, Bexley,DA5,"Montpelier Avenue, Bexley DA5",500000.0,NA,vente,A,3,3,2,3 bed end terrace house for sale,Maison,NA
6714,https://www.zoopla.co.uk//for-sale/details/54038902?search_identifier=71875a417683f11ff7d7eefc45d4e42c, Barking,IG11,"Salisbury Avenue, Barking IG11",500000.0,NA,vente,A,3,1,2,3 bed terraced house for sale,Maison,NA
3138,https://www.zoopla.co.uk//for-sale/details/54112038?search_identifier=e0ee2bc9f7f06ac362fecc655241c48c, Shirley,CR0,"Palace View, Shirley CR0",500000.0,NA,vente,A,3,1,2,3 bed semi-detached house for sale,Maison,NA
3376,https://www.zoopla.co.uk//for-sale/details/46469105?search_identifier=fa66bf652959bd95b74ac0d613701526, London,NW10,"Palermo Road, London NW10",500000.0,NA,vente,A,2,1,1,2 bed maisonette for sale,Maisonette,NA
4817,https://www.zoopla.co.uk//for-sale/details/54079460?search_identifier=6e021a797919b125b060dfed191d21b4, London,SW4,"Macaulay Road, London SW4",500000.0,NA,vente,A,1,NA,NA,1 bed flat for sale,Appartement,NA
3759,https://www.zoopla.co.uk//for-sale/details/54101721?search_identifier=126ebb161c184d66f0c85a917d8aca4b, Greenwich,SE10,"The Waterman, 5 Tidemill Square, Greenwich SE10",500000.0,NA,vente,A,1,NA,1,1 bed flat for sale,Appartement,NA
4367,https://www.zoopla.co.uk//for-sale/details/54091081?search_identifier=c896488009676d2754e19f5d80e08912, London,N10,"Avenue Mews, London N10",500000.0,NA,vente,A,1,1,1,1 bed flat for sale,Appartement,NA
1442,https://www.zoopla.co.uk//for-sale/details/54145810?search_identifier=b689049719149171b1503742a6e12f89, London,SE19,"Jasper Road, London SE19",500000.0,NA,vente,A,3,1,2,3 bed end terrace house for sale,Maison,NA
2106,https://www.zoopla.co.uk//for-sale/details/54135989?search_identifier=485f3d09a6279ecdebd5fa1f71aab668, London,W2,"50 Clanricarde Gardens, London W2",500000.0,NA,vente,A,1,1,1,1 bed flat for sale,Appartement,NA
3149,https://www.zoopla.co.uk//new-homes/details/54111742?search_identifier=e0ee2bc9f7f06ac362fecc655241c48c, Streatham,SW16,"The Marziale, Streatham SW16",500000.0,NA,vente,N,2,1,1,2 bed flat for sale,Appartement,NA
4687,https://www.zoopla.co.uk//for-sale/details/54081504?search_identifier=572b0c58279461dfb83c64c7bb4df3f5, London,N5,"Highbury New Park, London N5",500000.0,64.567585,vente,A,3,1,1,3 bed flat for sale,Appartement,NA
4678,https://www.zoopla.co.uk//for-sale/details/54081752?search_identifier=572b0c58279461dfb83c64c7bb4df3f5, London,N17,"Napier Road, Harringay, London N17",500000.0,NA,vente,A,2,1,2,2 bed terraced house for sale,Maison,NA
6458,https://www.zoopla.co.uk//for-sale/details/54045142?search_identifier=ba2b605830fffdb4450f724cb82c2b94, London,N22,"Westbury Avenue, London N22",500000.0,NA,vente,A,4,1,1,4 bed terraced house for sale,Maison,NA
2397,https://www.zoopla.co.uk//for-sale/details/54127920?search_identifier=3db859b17f7188303fb67108baf9eeb7, Surrey,KT19,"Upper Court Road, Epsom, Surrey KT19",500000.0,NA,vente,A,3,2,2,3 bed semi-detached house for sale,Maison,NA
8027,https://www.zoopla.co.uk//for-sale/details/54007260?search_identifier=132b4598d0b57ae63192f58eaf908d28, London,SW18,"Frogmore, London SW18",500000.0,NA,vente,A,2,1,1,2 bed flat for sale,Appartement,NA
5818,https://www.zoopla.co.uk//for-sale/details/54062402?search_identifier=ca956d7ec04f4b458c9a511e740b8e3a, Surrey,SM3,"Gander Green Lane, Cheam, Sutton, Surrey SM3",500000.0,NA,vente,A,3,1,2,3 bed semi-detached house for sale,Maison,NA
2512,https://www.zoopla.co.uk//for-sale/details/54124794?search_identifier=c7f699d8dc072d33fa2bb65cbe563ec6, Kent,BR3,"Churchfields Road, Beckenham, Kent BR3",500000.0,NA,vente,A,3,NA,NA,3 bed terraced house for sale,Maison,NA
3,https://www.zoopla.co.uk//for-sale/details/54171697?search_identifier=e431d2b21f8c113b686bf52a8d653f6a, United Kingdom,KT1,"Kingston Upon Thames, Surrey, United Kingdom KT1",500000.0,NA,vente,A,2,1,1,2 bed terraced house for sale,Maison,NA
7171,https://www.zoopla.co.uk//for-sale/details/54027347?search_identifier=3559a321ded243157189dcbe56388e71, London,E17,"Acacia Road, Walthamstow, London E17",500000.0,NA,vente,A,2,NA,NA,2 bed terraced house for sale,Maison,NA
3848,https://www.zoopla.co.uk//for-sale/details/49026706?search_identifier=821909f7980636a44357a204c6cd4dde, London,E1,"Kingward House, Hanbury Street, London E1",500000.0,NA,vente,A,3,1,1,3 bed flat for sale,Appartement,NA
4129,https://www.zoopla.co.uk//new-homes/details/54094610?search_identifier=0c7007bf60077d229b892565fe7c0df3, London,E16,"Park View Place, London E16",500000.0,58.714695999999996,vente,N,1,1,1,1 bed flat for sale,Appartement,NA
4497,https://www.zoopla.co.uk//for-sale/details/54089080?search_identifier=67ba0911be9c61924e653e74da3148eb, Hampton,TW12,"Uxbridge Road, Hampton TW12",500000.0,NA,vente,A,2,1,1,2 bed property for sale,Maison avec jardin,NA
3770,https://www.zoopla.co.uk//for-sale/details/54101665?search_identifier=126ebb161c184d66f0c85a917d8aca4b, London,E3,"Park West Building, Bow Quarter, London E3",500000.0,NA,vente,A,2,1,1,2 bed flat for sale,Appartement,NA
9486,https://www.zoopla.co.uk//for-sale/details/53975300?search_identifier=1a3942ffe12dfa0a8f1ae730191f6c97, London,W12,"Westway, London W12",500000.0,NA,vente,A,2,1,1,2 bed terraced house for sale,Maison,NA
4705,https://www.zoopla.co.uk//for-sale/details/54081102?search_identifier=cddf4390077aadc405d46f0373930128, Hounslow,TW3,"Park Road, Hounslow TW3",500000.0,NA,vente,A,2,1,2,2 bed terraced house for sale,Maison,NA
3809,https://www.zoopla.co.uk//for-sale/details/54100234?search_identifier=821909f7980636a44357a204c6cd4dde, London,SW5,"Nevern Square, Earls Court, London SW5",500000.0,NA,vente,A,1,1,1,1 bed flat for sale,Appartement,NA
2117,https://www.zoopla.co.uk//for-sale/details/54135910?search_identifier=485f3d09a6279ecdebd5fa1f71aab668, London,NW7,"Charles Sevright Way, Mill Hill, London NW7",500000.0,NA,vente,A,2,2,1,2 bed flat for sale,Appartement,NA
3035,https://www.zoopla.co.uk//for-sale/details/54114760?search_identifier=ae19cf55e1b8f615f85bc82ca1b01fb1, Park Royal,NW10,"Bodiam Court, Royal Waterside, Park Royal NW10",500000.0,NA,vente,A,2,2,1,2 bed flat for sale,Appartement,NA
6595,https://www.zoopla.co.uk//for-sale/details/54042534?search_identifier=fb6d1e772d68bffb98839d55e6a6a60e, Hillingdon,UB10,"Vine Lane, Hillingdon UB10",500000.0,NA,vente,A,2,2,1,2 bed flat for sale,Appartement,NA
3908,https://www.zoopla.co.uk//for-sale/details/54098357?search_identifier=d4baacc450a5ae752fb3a19f5972dc5a, Vauxhall,SW8,"Sheldon Court, Lansdowne Green Estate, Thorncroft Street, Vauxhall SW8",500000.0,NA,vente,A,2,1,1,2 bed flat for sale,Appartement,NA
3875,https://www.zoopla.co.uk//for-sale/details/54098961?search_identifier=821909f7980636a44357a204c6cd4dde, Croydon,CR0,"St. Clairs Road, Croydon CR0",500000.0,NA,vente,A,3,2,2,3 bed terraced house for sale,Maison,NA
8736,https://www.zoopla.co.uk//new-homes/details/53982587?search_identifier=bc580ae5322c677e87215cf5ebf4d761, London,E6,"""Raine House"" at Myrtle Road, East Ham, London E6",502000.0,NA,vente,N,3,2,1,3 bed flat for sale,Appartement,NA
3430,https://www.zoopla.co.uk//new-homes/details/54107217?search_identifier=9dc7c865aa4092bf72c6a483b1191463, London,SE10,"Banning Street, Royal Greenwich, London SE10",502000.0,71.256601,vente,N,1,1,NA,1 bed flat for sale,Appartement,NA
9889,https://www.zoopla.co.uk//for-sale/details/53966870?search_identifier=eb10c86a852c21db7d578db593287267, London,SE1,"Chamberlin House, 126 Westminster Bridge, Waterloo, London SE1",505995.0,NA,vente,A,1,NA,NA,1 bed flat for sale,Appartement,NA
9373,https://www.zoopla.co.uk//new-homes/details/53978112?search_identifier=1bb59fc96937d864f69d649102f72433, London,E13,"Green Street, Upton Park, London E13",509950.0,NA,vente,N,3,2,1,3 bed flat for sale,Appartement,NA
7665,https://www.zoopla.co.uk//for-sale/details/54016304?search_identifier=90c7d4111554be06a8cc1d4a52a2a993, London,SE1,"Westminster Bridge Road, London SE1",509950.0,NA,vente,A,1,1,1,1 bed flat for sale,Appartement,NA
1236,https://www.zoopla.co.uk//for-sale/details/54150002?search_identifier=e8a31cfb56cfc8829bdea22a56efac86, Ilford,IG6,"Princes Road, Ilford IG6",509995.0,NA,vente,A,3,1,2,3 bed semi-detached house for sale,Maison,NA
