,URL,ville,code postal,adresse,prix,surface,Enchère ou vente,Etat neuf ou ancien,Nombre de chambres,Nombre de SDB,Nombre de séjour,Description,Type bien,Aide
4292,https://www.zoopla.co.uk//for-sale/details/54091843?search_identifier=4a383953bb5d5f63baf930d0fea37709, London,N15,"Langham Road, Turnpike Lane, London N15",775000.0,NA,vente,A,3,1,2,3 bed end terrace house for sale,Maison,NA
5181,https://www.zoopla.co.uk//for-sale/details/54074354?search_identifier=8b456d5c332277964b4aeb5cfbc6d9ed, London,N22,"Imperial Road, London N22",775000.0,NA,vente,A,3,1,2,3 bed terraced house for sale,Maison,NA
4191,https://www.zoopla.co.uk//for-sale/details/54093913?search_identifier=0c7007bf60077d229b892565fe7c0df3, Turnpike Lane,N15,"Langham Road, Turnpike Lane N15",775000.0,NA,vente,A,3,1,2,3 bed terraced house for sale,Maison,NA
1437,https://www.zoopla.co.uk//for-sale/details/54145856?search_identifier=b689049719149171b1503742a6e12f89, London,NW1,"William Road, Regents Park, London NW1",775000.0,NA,vente,A,2,2,1,2 bed flat for sale,Appartement,NA
618,https://www.zoopla.co.uk//for-sale/details/54161787?search_identifier=7628ff5369be1389d7c928a9eb4c75d1, London,NW7,"Hale Drive, London NW7",775000.0,NA,vente,A,4,2,2,4 bed semi-detached house for sale,Maison,NA
3003,https://www.zoopla.co.uk//for-sale/details/54115494?search_identifier=ae19cf55e1b8f615f85bc82ca1b01fb1, London,SE1,"Holland Street, London SE1",775000.0,NA,vente,A,1,1,1,1 bed flat for sale,Appartement,NA
9010,https://www.zoopla.co.uk//for-sale/details/53988726?search_identifier=89032ca41787a980b71dc0421fe84f6e, Uxbridge,UB10,"Pepys Close, Ickenham, Uxbridge UB10",775000.0,NA,vente,A,3,2,1,3 bed detached bungalow for sale,Bungalow,NA
3907,https://www.zoopla.co.uk//for-sale/details/54098355?search_identifier=d4baacc450a5ae752fb3a19f5972dc5a, Vauxhall,SW8,"Hamilton House, St George Wharf, Vauxhall SW8",775000.0,NA,vente,A,2,1,1,2 bed flat for sale,Appartement,NA
9681,https://www.zoopla.co.uk//for-sale/details/53971502?search_identifier=caef4a319a7642559fc5e78f9d4c4e3f, London,W6,"Vitae Apartments, 311 Goldhawk Road, London W6",775000.0,NA,vente,A,2,2,1,2 bed flat for sale,Appartement,NA
7963,https://www.zoopla.co.uk//for-sale/details/54009289?search_identifier=deac6f9206c15779a662370da0a54810, Harrow,HA1,"Woodway Crescent, Harrow HA1",775000.0,NA,vente,A,3,1,2,3 bed semi-detached house for sale,Maison,NA
8568,https://www.zoopla.co.uk//for-sale/details/53996645?search_identifier=5f35bcae69a3ad3db52097326a52c397, London,W14,"Sinclair Road, London W14",775000.0,NA,vente,A,2,2,1,2 bed flat for sale,Appartement,NA
2073,https://www.zoopla.co.uk//for-sale/details/54136420?search_identifier=81df929a334627b4b26f5398e1ff779b, London,SW6,"Alder Lodge, 73 Stevenage Road, London SW6",775000.0,NA,vente,A,2,2,1,2 bed flat for sale,Appartement,NA
2413,https://www.zoopla.co.uk//for-sale/details/54126777?search_identifier=bd268dfed7c29988402539b9a6ce422b, London,W6,"Weltje Road, Ravenscourt Park, London W6",775000.0,NA,vente,A,2,NA,NA,2 bed maisonette for sale,Maisonette,NA
7248,https://www.zoopla.co.uk//for-sale/details/54024709?search_identifier=7ea405110a39dd30499c50861ac2b968, London,SW6,"Harwood Road, London SW6",775000.0,NA,vente,A,2,1,NA,2 bed flat for sale,Appartement,NA
1652,https://www.zoopla.co.uk//for-sale/details/54141794?search_identifier=8d5ef7abd61f7b0d233372bb90b5f0bc, London,N14,"Sheringham Avenue, London N14",775000.0,NA,vente,A,3,1,2,3 bed semi-detached house for sale,Maison,NA
318,https://www.zoopla.co.uk//for-sale/details/54166948?search_identifier=3ffddd95675a599ff5ad36a8a9913c84, London,SW6,"The Boulevard, Imperial Wharf, London SW6",775000.0,NA,vente,A,2,2,1,2 bed flat for sale,Appartement,NA
4203,https://www.zoopla.co.uk//for-sale/details/54093767?search_identifier=4a383953bb5d5f63baf930d0fea37709, London,WC2B,"Drury Lane, London WC2B",780000.0,NA,vente,A,1,1,1,1 bed flat for sale,Appartement,NA
6982,https://www.zoopla.co.uk//for-sale/details/54030562?search_identifier=b4c3dbcd616bf46f8c93e6328d143367, Uxbridge,UB10,"Tangmere Crescent, Uxbridge UB10",780000.0,NA,vente,A,4,3,2,4 bed town house for sale,Maison,NA
6877,https://www.zoopla.co.uk//for-sale/details/54032835?search_identifier=1abf4aab03a50d661349b059887038a8, London,E1,"12 Leyden Street, London E1",780000.0,NA,vente,A,2,2,1,2 bed flat for sale,Appartement,NA
2282,https://www.zoopla.co.uk//for-sale/details/45978662?search_identifier=7855bd28b4f8269093228e149b31c366, Hounslow,TW5,"Fern Lane, Hounslow TW5",780000.0,NA,vente,A,6,2,2,6 bed semi-detached house for sale,Maison,NA
7897,https://www.zoopla.co.uk//for-sale/details/54010271?search_identifier=b2cba6063ea22c7a60103115a1c89a1e, 1 Yabsley Street,E14,"Horizons Tower, 1 Yabsley Street E14",780000.0,NA,vente,A,3,2,1,3 bed flat for sale,Appartement,NA
2920,https://www.zoopla.co.uk//for-sale/details/54116889?search_identifier=25971fe6e2637a7010d0b8b56ed1cfc2, London,E14,"Horizons Tower, 1 Yabsley Street, London E14",780000.0,NA,vente,A,3,2,1,3 bed flat for sale,Appartement,NA
2247,https://www.zoopla.co.uk//new-homes/details/54131742?search_identifier=7855bd28b4f8269093228e149b31c366, Greater London,EN2,"Locksley Place, Chase Farm, Lavender Hill, Enfield, Greater London EN2",780000.0,NA,vente,N,4,NA,NA,4 bed end terrace house for sale,Maison,NA
6909,https://www.zoopla.co.uk//for-sale/details/54032137?search_identifier=b4c3dbcd616bf46f8c93e6328d143367, Streatham,SW16,"Lewin Road, Streatham SW16",780000.0,NA,vente,A,3,1,2,3 bed terraced house for sale,Maison,NA
9148,https://www.zoopla.co.uk//new-homes/details/53982893?search_identifier=fa9bb80b9e735581213c71171a2eb876, Ilford,IG6,"Cranbrook Road, Ilford IG6",780000.0,NA,vente,N,4,3,1,4 bed semi-detached house for sale,Maison,NA
7633,https://www.zoopla.co.uk//for-sale/details/54017211?search_identifier=90c7d4111554be06a8cc1d4a52a2a993, London,SE13,"Radford Road, Hither Green, London SE13",780000.0,NA,vente,A,3,2,2,3 bed terraced house for sale,Maison,NA
2686,https://www.zoopla.co.uk//for-sale/details/54120993?search_identifier=b2405fab13ec430939762f5907ff3366, London,NW5,"Grafton Yard, London NW5",780000.0,NA,vente,A,2,2,1,2 bed flat for sale,Appartement,NA
6274,https://www.zoopla.co.uk//for-sale/details/54049969?search_identifier=3a76a2eb752c667ddea6c669b3a4288b, London,N21,"Ridge Avenue, London N21",780000.0,NA,vente,A,1,3,2,1 bed terraced house for sale,Maison,NA
1860,https://www.zoopla.co.uk//new-homes/details/54139440?search_identifier=92c224e336c3061160fdc18c13247ef4, London,N4,"Rectangular Building, City North, Finsbury Park, London N4",785000.0,82.033349,vente,N,2,2,1,2 bed flat for sale,Appartement,NA
560,https://www.zoopla.co.uk//for-sale/details/47959348?search_identifier=c4c4522d09a4180e525e6a6b5efe62e5, Barnet,EN4,"Cockfosters, Barnet EN4",785000.0,NA,vente,A,3,1,1,3 bed semi-detached house for sale,Maison,NA
4461,https://www.zoopla.co.uk//for-sale/details/54089623?search_identifier=67ba0911be9c61924e653e74da3148eb, Ealing,W5,"Dickens Yard, Longfield Avenue, Ealing W5",785000.0,68,vente,A,2,2,1,2 bed flat for sale,Appartement,NA
728,https://www.zoopla.co.uk//new-homes/details/51212888?search_identifier=b76c80d2603f19c8f29aeb2044a454fd, Purley,CR8,"Warren Road, Purley CR8",785000.0,NA,vente,N,4,3,3,4 bed town house for sale,Maison,NA
8572,https://www.zoopla.co.uk//for-sale/details/53996581?search_identifier=5f35bcae69a3ad3db52097326a52c397, Wembley,HA9,"Princes Court, Wembley HA9",785000.0,NA,vente,A,4,2,2,4 bed semi-detached house for sale,Maison,NA
8329,https://www.zoopla.co.uk//for-sale/details/54002051?search_identifier=e25c9b19ff1e3e21c7a147c4ac5a3d89, Orpington,BR5,"Sefton Close, Petts Wood, Orpington BR5",785000.0,NA,vente,A,3,1,2,3 bed detached house for sale,Maison,NA
