,url,prix,adresse,surface,Etat neuf ou ancien,Nombre de chambres,Nombre de SDB,Nombre de séjour,Description
8907,https://www.zoopla.co.uk//for-sale/details/50697845?search_identifier=e84406c9a2fcd7eeca5ee96732684431,"£2,500,000","Westbourne Terrace, Bayswater W2",NA,A,2,2,1,2 bed flat for sale
8908,https://www.zoopla.co.uk//for-sale/details/53806816?search_identifier=e84406c9a2fcd7eeca5ee96732684431,"£2,500,000","Block A, 50 Holland Street, London SE1",NA,A,3,NA,NA,3 bed flat for sale
8909,https://www.zoopla.co.uk//for-sale/details/53806805?search_identifier=e84406c9a2fcd7eeca5ee96732684431,"£695,000","St. Georges Drive, Pimlico, London SW1V",NA,A,2,NA,NA,2 bed flat for sale
8910,https://www.zoopla.co.uk//for-sale/details/53806789?search_identifier=e84406c9a2fcd7eeca5ee96732684431,"£540,000","Vineyard Avenue, Mill Hill, London NW7",NA,A,3,NA,NA,3 bed maisonette for sale
8911,https://www.zoopla.co.uk//for-sale/details/53806780?search_identifier=e84406c9a2fcd7eeca5ee96732684431,"£700,000","Elspeth Road, London SW11",NA,A,3,NA,NA,3 bed flat for sale
8912,https://www.zoopla.co.uk//for-sale/details/53806781?search_identifier=e84406c9a2fcd7eeca5ee96732684431,"£600,000","Elsynge Road, London SW18",NA,A,2,NA,NA,2 bed flat for sale
8913,https://www.zoopla.co.uk//new-homes/details/53806751?search_identifier=e84406c9a2fcd7eeca5ee96732684431,"£1,700,000","Boat Race House, 63 Mortlake High Street, London SW14",NA,N,2,NA,NA,2 bed flat for sale
8914,https://www.zoopla.co.uk//new-homes/details/53806752?search_identifier=e84406c9a2fcd7eeca5ee96732684431,"£1,200,000","Boat Race House, 63 Mortlake High Street, London SW14",NA,N,2,NA,NA,2 bed flat for sale
8915,https://www.zoopla.co.uk//new-homes/details/53806754?search_identifier=e84406c9a2fcd7eeca5ee96732684431,"£2,200,000","Boat Race House, 63 Mortlake High Street, London SW14",NA,N,2,NA,NA,2 bed flat for sale
8916,https://www.zoopla.co.uk//new-homes/details/53806753?search_identifier=e84406c9a2fcd7eeca5ee96732684431,"£1,350,000","Boat Race House, 63 Mortlake High Street, London SW14",NA,N,2,NA,NA,2 bed flat for sale
8917,https://www.zoopla.co.uk//for-sale/details/53806747?search_identifier=e84406c9a2fcd7eeca5ee96732684431,"£450,000","Whiston House, Bingham Court, London N1",NA,A,1,NA,NA,1 bed flat for sale
8918,https://www.zoopla.co.uk//for-sale/details/53806481?search_identifier=e84406c9a2fcd7eeca5ee96732684431,"£450,000","Heath View, East Finchley N2",NA,A,2,NA,NA,2 bed maisonette for sale
8919,https://www.zoopla.co.uk//for-sale/details/53806482?search_identifier=e84406c9a2fcd7eeca5ee96732684431,"£375,000","Diploma Court, East Finchley N2",NA,A,2,NA,NA,2 bed flat for sale
8920,https://www.zoopla.co.uk//for-sale/details/53806483?search_identifier=e84406c9a2fcd7eeca5ee96732684431,"£335,000","Brownswell Road, East Finchley N2",NA,A,1,NA,NA,1 bed maisonette for sale
8921,https://www.zoopla.co.uk//for-sale/details/53806480?search_identifier=e84406c9a2fcd7eeca5ee96732684431,"£550,000","Oswin Street, Kennington SE11",NA,A,2,1,1,2 bed flat for sale
8922,https://www.zoopla.co.uk//for-sale/details/53806468?search_identifier=e84406c9a2fcd7eeca5ee96732684431,"£600,000","163 Queenstown Road, Battersea SW8",NA,A,2,1,1,2 bed flat for sale
8923,https://www.zoopla.co.uk//for-sale/details/53805208?search_identifier=e84406c9a2fcd7eeca5ee96732684431,"£350,000","Evan Cook Close, London SE15",NA,A,1,1,1,1 bed flat for sale
8924,https://www.zoopla.co.uk//for-sale/details/53805073?search_identifier=e84406c9a2fcd7eeca5ee96732684431,"£500,000","Selsdon Road, London SE27",NA,A,3,1,1,3 bed maisonette for sale
