,URL,ville,code postal,prix £,surface m2,Enchère ou vente,Etat neuf ou ancien,Nombre de chambres,Nombre de SDB,Nombre de séjour,Description,Type bien,Aide,adresse
63,https://www.zoopla.co.uk//for-sale/details/54184119,South Croydon,CR2,585000,NA,vente,A,4,2,3,4 bed detached house for sale,Maison,NA,"Blackford Close, South Croydon CR2"
64,https://www.zoopla.co.uk//for-sale/details/54184112,Londres,N8,525000,NA,vente,A,2,1,1,2 bed maisonette for sale,Maisonette,NA,"Middle Lane, London N8"
65,https://www.zoopla.co.uk//for-sale/details/54184093,Londres,N15,725000,NA,vente,A,3,2,2,3 bed detached house for sale,Maison,NA,"Falmer Road, London N15"
66,https://www.zoopla.co.uk//for-sale/details/54184067,London,SW1P,820000,NA,vente,A,2,NA,NA,2 bed flat for sale,Appartement,NA,"Romney House, 47 Marsham Street, Westminster, London SW1P"
67,https://www.zoopla.co.uk//for-sale/details/54184059,York Way,N1C,700000,NA,vente,A,1,1,1,1 bed flat for sale,Appartement,NA,"Luma Building, York Way N1C"
68,https://www.zoopla.co.uk//for-sale/details/54184049,Londres,N12,475000,NA,vente,A,2,2,1,2 bed flat for sale,Appartement,NA,"Woodside Grange Road, Woodside Park N12"
69,https://www.zoopla.co.uk//for-sale/details/51788203,Coulsdon,CR5,695000,NA,vente,A,4,1,3,4 bed detached house for sale,Maison,NA,"Byron Avenue, Coulsdon CR5"
70,https://www.zoopla.co.uk//for-sale/details/54184039,High Barnet,EN5,650000,NA,vente,A,3,3,2,3 bed property for sale,Maison avec jardin,NA,"Moxon Street, High Barnet, Hertfordshire EN5"
71,https://www.zoopla.co.uk//for-sale/details/54184022,Beckenham,BR3,170000,NA,vente,A,1,1,1,1 bed flat for sale,Appartement,NA,"Crescent Road, Beckenham BR3"
72,https://www.zoopla.co.uk//for-sale/details/54184027,Londres,SW20,499950,NA,vente,A,2,1,1,2 bed flat for sale,Appartement,NA,"Kingston Road, London SW20"
73,https://www.zoopla.co.uk//for-sale/details/54183990,Epsom,KT19,425000,NA,vente,A,2,2,1,2 bed flat for sale,Appartement,NA,"Ashford Court, Epsom, Surrey KT19"
74,https://www.zoopla.co.uk//for-sale/details/54183997,Londres,SW6,775000,96,vente,A,3,NA,NA,3 bed flat for sale,Appartement,NA,"Langthorne Street, London SW6"
75,https://www.zoopla.co.uk//for-sale/details/54184006,Londres,NW3,395000,NA,vente,A,1,1,1,1 bed flat for sale,Appartement,NA,"Finchley Road, Hampstead, London NW3"
76,https://www.zoopla.co.uk//for-sale/details/54184007,Wallington,SM6,550000,NA,vente,A,4,2,3,4 bed terraced house for sale,Maison,NA,"The Chase, Wallington SM6"
77,https://www.zoopla.co.uk//for-sale/details/54183991,Londres,N3,875000,NA,vente,A,3,2,NA,3 bed terraced house for sale,Maison,NA,"Spencer Courtyard, Regents Park Road, London N3"
78,https://www.zoopla.co.uk//for-sale/details/54183984,Londres,SW7,7500000,NA,vente,A,2,NA,NA,2 bed flat for sale,Appartement,NA,"Rutland Gardens, London SW7"
79,https://www.zoopla.co.uk//for-sale/details/54183645,Londres,SW18,1075000,NA,vente,A,4,2,2,4 bed terraced house for sale,Maison,NA,"Brocklebank Road, Wandsworth, London SW18"
80,https://www.zoopla.co.uk//for-sale/details/54183155,Brentford,TW8,459950,NA,vente,A,3,1,1,3 bed flat for sale,Appartement,NA,"Brent Lea, Brentford TW8"
